0.23594,0.28657,-0.39496
0.48564,0.57125,-0.8088
0.42988,0.51049,-0.68417
0.45313,0.55933,-0.72136
0.43229,0.52965,-0.67327
0.46282,0.54559,-0.70291
0.46076,0.53367,-0.69621
0.45206,0.55752,-0.69792
0.45282,0.54904,-0.70514
0.46483,0.54494,-0.69446
0.46452,0.54836,-0.67881
0.47205,0.55184,-0.69306
0.46594,0.55271,-0.68903
0.45704,0.54881,-0.68003
0.46201,0.54835,-0.68656
0.46466,0.55303,-0.68902
0.47038,0.54994,-0.68281
0.47361,0.55042,-0.6819
0.46984,0.54654,-0.68318
0.47082,0.54585,-0.68215
0.46915,0.54845,-0.68556
0.47081,0.54643,-0.68252
0.47125,0.54492,-0.67882
0.47331,0.54634,-0.68695
0.46648,0.54787,-0.68572
0.46502,0.54555,-0.68842
0.47071,0.53268,-0.69297
0.47483,0.53335,-0.68917
0.48582,0.53072,-0.69962
0.49052,0.53365,-0.68874
0.48519,0.53756,-0.681
0.47096,0.52454,-0.68476
0.47229,0.53142,-0.69597
0.48136,0.53939,-0.69388
0.499,0.53758,-0.65553
0.47554,0.5201,-0.6936
0.47444,0.50435,-0.6788
0.49316,0.51655,-0.6757
0.49618,0.53309,-0.70884
0.49361,0.5328,-0.6554
0.51374,0.55486,-0.65945
0.50529,0.55051,-0.6732
0.50706,0.54042,-0.63368
0.52238,0.54693,-0.64457
0.54038,0.55722,-0.64417
0.55435,0.57263,-0.6049
0.54373,0.57665,-0.612
0.52721,0.58035,-0.61118
0.53316,0.58009,-0.63138
0.50754,0.57914,-0.60216
0.53734,0.59748,-0.59792
0.53416,0.59494,-0.65292
0.5031,0.5723,-0.64338
0.52577,0.53651,-0.61389
0.51047,0.53923,-0.60565
0.49007,0.53477,-0.62695
0.53705,0.57484,-0.6084
0.56606,0.59934,-0.61809
0.54064,0.59972,-0.63882
0.55082,0.58669,-0.60775
0.57477,0.58306,-0.63992
0.51903,0.55675,-0.65579
0.51881,0.54886,-0.58094
0.50405,0.56983,-0.58411
0.50089,0.57048,-0.59729
0.57594,0.60199,-0.63124
0.60788,0.63624,-0.65866
0.53427,0.65024,-0.61843
0.44356,0.62945,-0.57099
0.48179,0.59391,-0.54454
0.48647,0.60163,-0.59202
0.4541,0.6331,-0.70936
0.45184,0.6459,-0.65993
0.47141,0.59734,-0.62927
0.50426,0.58956,-0.64086
0.42945,0.6097,-0.59741
0.42408,0.63231,-0.61685
0.46809,0.66196,-0.6497
0.43469,0.70149,-0.56779
0.42266,0.73866,-0.53799
0.44487,0.75285,-0.52052
0.42276,0.78672,-0.448
0.41574,0.79902,-0.3969
0.42166,0.82192,-0.37027
0.41957,0.83523,-0.34008
0.40159,0.8402,-0.28325
0.40058,0.87835,-0.2759
0.40771,0.9026,-0.27426
0.38069,0.90133,-0.19869
0.36803,0.90672,-0.14106
0.38298,0.92873,-0.14403
0.38478,0.93925,-0.14742
0.36793,0.93126,-0.11508
0.37613,0.93343,-0.12319
0.36524,0.93866,-0.13251
0.35712,0.93481,-0.1259
0.35791,0.94015,-0.10799
0.35498,0.94687,-0.097042
0.34441,0.94116,-0.09604
0.34447,0.94118,-0.087163
0.35301,0.95142,-0.078678
0.34599,0.95673,-0.079896
0.36101,0.9548,-0.08945
0.3566,0.95556,-0.085947
0.34574,0.95067,-0.076588
0.35505,0.93944,-0.11999
0.33794,0.93517,-0.14599
0.34297,0.93719,-0.1217
0.34954,0.95171,-0.13878
0.3624,0.95494,-0.15241
0.35209,0.95264,-0.13828
0.34744,0.93862,-0.1412
0.35422,0.92305,-0.18483
0.35484,0.9224,-0.18363
0.35886,0.9184,-0.17499
0.35387,0.92558,-0.18132
0.35768,0.93273,-0.18226
0.36127,0.92782,-0.16608
0.34185,0.92394,-0.16216
0.37294,0.92291,-0.18161
0.38691,0.93085,-0.19837
0.35318,0.8908,-0.18205
0.36472,0.89705,-0.19831
0.38646,0.92215,-0.20971
0.4038,0.92167,-0.16465
